Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option 1 Name,Option 1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
adabi-istilahat,Adabi Istilahat,<p><strong>Book Title:</strong> Adabi Istilahat</p><p><strong>Urdu Title:</strong> ادبی اصطلاحات</p><p><strong>Author:</strong> Dr. Haroon Rasheed Tabassum</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Dr. Haroon Rasheed Tabassum,,Books,"Urdu Books, Fiqh, Urdu Literature",true,Title,Default Title,KW-DR.-0001,400,shopify,100,deny,manual,700,900,true,false,,https://media.bookcorner.shop/uploads/5c4e9a0e77bec1548655118.jpg,1,Adabi Istilahat,false,,,,,g,,,,,active
asnaf-e-urdu,Asnaf e Urdu,<p><strong>Book Title:</strong> Asnaf e Urdu</p><p><strong>Urdu Title:</strong> اصناف اردو</p><p><strong>Author:</strong> Dr. Haroon Rasheed Tabassum</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Dr. Haroon Rasheed Tabassum,,Books,"Urdu Books, Fiqh, Urdu Literature",true,Title,Default Title,KW-DR.-0002,400,shopify,100,deny,manual,700,900,true,false,,https://media.bookcorner.shop/uploads/5c4ecfcb2247f1548668875.jpg,1,Asnaf e Urdu,false,,,,,g,,,,,active
tarikh-e-urdu,Dastan Tarikh e Urdu,<p><strong>Book Title:</strong> Dastan Tarikh e Urdu</p><p><strong>Urdu Title:</strong> داستان تاریخ اردو</p><p><strong>Author:</strong> Hamid Hassan Qadri</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Hamid Hassan Qadri,,Books,"Urdu Books, History, Urdu Literature",true,Title,Default Title,KW-HAM-0003,400,shopify,100,deny,manual,2000,2500,true,false,,https://media.bookcorner.shop/uploads/5facfaba784901605171898.jpg,1,Dastan Tarikh e Urdu,false,,,,,g,,,,,active
dekha-tera-america,Dekha Tera America,<p><strong>Book Title:</strong> Dekha Tera America</p><p><strong>Urdu Title:</strong> دیکھا تیرا امریکہ</p><p><strong>Author:</strong> Raza ul Haq Siddiqui</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Raza ul Haq Siddiqui,,Books,"Urdu Books, Urdu Literature, Travelogue",true,Title,Default Title,KW-RAZ-0004,400,shopify,100,deny,manual,600,750,true,false,,https://media.bookcorner.shop/uploads/36.jpg,1,Dekha Tera America,false,,,,,g,,,,,active
delhi-ka-yadgar-mushaira,Delhi ka Yadgar Mushaira,<p><strong>Book Title:</strong> Delhi ka Yadgar Mushaira</p><p><strong>Urdu Title:</strong> دہلی کا ایک یادگار مشاعرہ</p><p><strong>Author:</strong> Mirza Farhat ullah Baig</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Mirza Farhat ullah Baig,,Books,"Urdu Books, Poetry, History, Urdu Literature",true,Title,Default Title,KW-MIR-0005,400,shopify,100,deny,manual,500,600,true,false,,https://media.bookcorner.shop/uploads/5c4ef9abb24981548679595.jpg,1,Delhi ka Yadgar Mushaira,false,,,,,g,,,,,active
dr-ayub-sabir-bator-iqbal-shinas,Dr. Ayub Sabir Bator Iqbal Shinas,<p><strong>Book Title:</strong> Dr. Ayub Sabir Bator Iqbal Shinas</p><p><strong>Urdu Title:</strong> ڈاکٹر ایوب صابر بطور اقبال شناس</p><p><strong>Author:</strong> Dr. Haroon Rasheed Tabassum</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Dr. Haroon Rasheed Tabassum,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-DR.-0006,400,shopify,100,deny,manual,900,1100,true,false,,https://media.bookcorner.shop/uploads/40.jpg,1,Dr. Ayub Sabir Bator Iqbal Shinas,false,,,,,g,,,,,active
dr-wazir-agha-bator-iqbal-shinas,Dr. Wazir Agha Bator Iqbal Shinas,<p><strong>Book Title:</strong> Dr. Wazir Agha Bator Iqbal Shinas</p><p><strong>Urdu Title:</strong> ڈاکٹر وزیر آغا بطور اقبال شناس</p><p><strong>Author:</strong> Dr. Haroon Rasheed Tabassum</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Dr. Haroon Rasheed Tabassum,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-DR.-0007,400,shopify,100,deny,manual,480,600,true,false,,https://media.bookcorner.shop/uploads/41.jpg,1,Dr. Wazir Agha Bator Iqbal Shinas,false,,,,,g,,,,,active
ghulam-abbas-muntakhib-afsanay,Ghulam Abbas - Muntakhib Afsanay,<p><strong>Book Title:</strong> Ghulam Abbas - Muntakhib Afsanay</p><p><strong>Urdu Title:</strong> غلام عباس (منتخب افسانے)</p><p><strong>Author:</strong> Ghulam Abbas</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Ghulam Abbas,,Books,"Urdu Books, Short Stories, Urdu Literature",true,Title,Default Title,KW-GHU-0008,400,shopify,100,deny,manual,950,1200,true,false,,https://media.bookcorner.shop/uploads/5c4ef94f0b1061548679503.jpg,1,Ghulam Abbas - Muntakhib Afsanay,false,,,,,g,,,,,active
hali-fehmi,Hali Fehmi,<p><strong>Book Title:</strong> Hali Fehmi</p><p><strong>Urdu Title:</strong> حالی فہمی</p><p><strong>Author:</strong> Dr. Syed Taqi Abedi</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Dr. Syed Taqi Abedi,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-DR.-0009,400,shopify,100,deny,manual,1200,1500,true,false,,https://media.bookcorner.shop/uploads/65.jpg,1,Hali Fehmi,false,,,,,g,,,,,active
ilyas-ishqi-ki-urdu-nasar,Ilyas Ishqi Ki Urdu Nasar,<p><strong>Book Title:</strong> Ilyas Ishqi Ki Urdu Nasar</p><p><strong>Urdu Title:</strong> الیاس عشقی کی اردو نثر</p><p><strong>Author:</strong> Prof. Dr. Abdul Salam Adil</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Prof. Dr. Abdul Salam Adil,,Books,"Urdu Books, Urdu Literature",true,Title,Default Title,KW-PRO-0010,400,shopify,100,deny,manual,1500,1900,true,false,,https://media.bookcorner.shop/uploads/5c572b9f7c95b1549216671.jpg,1,Ilyas Ishqi Ki Urdu Nasar,false,,,,,g,,,,,active
